,names,price,description
0,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/10"" title=""Lenovo IdeaTab"">Lenovo IdeaTab</a>","<h4 class=""price float-end card-title pull-right"">$69.99</h4>","<p class=""description card-text"">7"" screen, Android</p>"
1,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/15"" title=""IdeaTab A3500L"">IdeaTab A3500L</a>","<h4 class=""price float-end card-title pull-right"">$88.99</h4>","<p class=""description card-text"">Black, 7"" IPS, Quad-Core 1.2GHz, 8GB, Android 4.2</p>"
2,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/11"" title=""Acer Iconia"">Acer Iconia</a>","<h4 class=""price float-end card-title pull-right"">$96.99</h4>","<p class=""description card-text"">7"" screen, Android, 16GB</p>"
3,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/18"" title=""Galaxy Tab 3"">Galaxy Tab 3</a>","<h4 class=""price float-end card-title pull-right"">$97.99</h4>","<p class=""description card-text"">7"", 8GB, Wi-Fi, Android 4.2, White</p>"
4,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/27"" title=""Iconia B1-730HD"">Iconia B1-730H...</a>","<h4 class=""price float-end card-title pull-right"">$99.99</h4>","<p class=""description card-text"">Black, 7"", 1.6GHz Dual-Core, 8GB, Android 4.4</p>"
5,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/23"" title=""Memo Pad HD 7"">Memo Pad HD 7</a>","<h4 class=""price float-end card-title pull-right"">$101.99</h4>","<p class=""description card-text"">IPS, Dual-Core 1.2GHz, 8GB, Android 4.3</p>"
6,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/12"" title=""Asus MeMO Pad"">Asus MeMO Pad</a>","<h4 class=""price float-end card-title pull-right"">$102.99</h4>","<p class=""description card-text"">7"" screen, Android, 8GB</p>"
7,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/13"" title=""Amazon Kindle"">Amazon Kindle</a>","<h4 class=""price float-end card-title pull-right"">$103.99</h4>","<p class=""description card-text"">6"" screen, wifi</p>"
8,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/22"" title=""Galaxy Tab 3"">Galaxy Tab 3</a>","<h4 class=""price float-end card-title pull-right"">$107.99</h4>","<p class=""description card-text"">7"", 8GB, Wi-Fi, Android 4.2, Yellow</p>"
9,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/28"" title=""IdeaTab A8-50"">IdeaTab A8-50</a>","<h4 class=""price float-end card-title pull-right"">$121.99</h4>","<p class=""description card-text"">Blue, 8"" IPS, Quad-Core 1.3GHz, 16GB, Android 4.2</p>"
10,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/20"" title=""MeMO Pad 7"">MeMO Pad 7</a>","<h4 class=""price float-end card-title pull-right"">$130.99</h4>","<p class=""description card-text"">White, 7"", Atom 1.2GHz, 8GB, Android 4.4</p>"
11,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/17"" title=""IdeaTab A3500-H"">IdeaTab A3500-...</a>","<h4 class=""price float-end card-title pull-right"">$148.99</h4>","<p class=""description card-text"">Blue, 7"" IPS, Quad-Core 1.3GHz, 8GB, 3G, Android 4.2</p>"
12,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/26"" title=""IdeaTab S5000"">IdeaTab S5000</a>","<h4 class=""price float-end card-title pull-right"">$172.99</h4>","<p class=""description card-text"">Silver, 7"" IPS, Quad-Core 1.2Ghz, 16GB, 3G, Android 4.2</p>"
13,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/21"" title=""Galaxy Tab 4"">Galaxy Tab 4</a>","<h4 class=""price float-end card-title pull-right"">$233.99</h4>","<p class=""description card-text"">LTE (SM-T235), Quad-Core 1.2GHz, 8GB, Black</p>"
14,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/16"" title=""Galaxy Tab"">Galaxy Tab</a>","<h4 class=""price float-end card-title pull-right"">$251.99</h4>","<p class=""description card-text"">16GB, White</p>"
15,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/25"" title=""MeMo PAD FHD 10"">MeMo PAD FHD 1...</a>","<h4 class=""price float-end card-title pull-right"">$320.99</h4>","<p class=""description card-text"">White, 10.1"" IPS, 1.6GHz, 2GB, 16GB, Android 4.2</p>"
16,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/29"" title=""Galaxy Note"">Galaxy Note</a>","<h4 class=""price float-end card-title pull-right"">$399.99</h4>","<p class=""description card-text"">10.1"", 3G, Android 4.0, Garnet Red</p>"
17,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/19"" title=""Galaxy Note"">Galaxy Note</a>","<h4 class=""price float-end card-title pull-right"">$489.99</h4>","<p class=""description card-text"">12.2"", 32GB, WiFi, Android 4.4, White</p>"
18,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/14"" title=""iPad Mini Retina"">iPad Mini Reti...</a>","<h4 class=""price float-end card-title pull-right"">$537.99</h4>","<p class=""description card-text"">Wi-Fi + Cellular, 32GB, Silver</p>"
19,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/24"" title=""Galaxy Note 10.1"">Galaxy Note 10...</a>","<h4 class=""price float-end card-title pull-right"">$587.99</h4>","<p class=""description card-text"">10.1"", 32GB, Black</p>"
20,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/30"" title=""Apple iPad Air"">Apple iPad Air</a>","<h4 class=""price float-end card-title pull-right"">$603.99</h4>","<p class=""description card-text"">Wi-Fi, 64GB, Silver</p>"
